FECHA,HORA,CLASE_ACC,DEPARTAMENTO,PROVINCIA,DISTRITO,LATITUD,LONGITUD,VEHICULOS
18-07-2023,16:40:00,Choque,ANCASH,HUARI,HUARI,-9.394171646954865,-77.14233216814972,"CAMIONETA RURAL,MOTOCICLETA"
18-07-2023,14:30:00,Despiste,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,-9.08899469244011,-77.33975446279406,ÓMNIBUS
17-07-2023,22:00:00,Despiste,LA LIBERTAD,PATAZ,PIAS,-7.927728065647655,-77.53649355559405,
17-07-2023,14:30:00,Despiste,LA LIBERTAD,JULCAN,JULCAN,-8.020962234851163,-78.48804579396595,
16-07-2023,14:30:00,Despiste,PUNO,PUNO,PAUCARCOLLA,-15.76270352155177,-70.06938454054797,AUTOMÓVIL
16-07-2023,06:00:00,Despiste,LA LIBERTAD,PATAZ,PARCOY,-8.049815659119059,-77.43703641620576,
14-07-2023,19:15:00,Choque,PUNO,PUNO,PICHACANI,-16.134785534110286,-70.04528753553053,"AUTOMÓVIL,MOTOCICLETA"
14-07-2023,15:30:00,Despiste,ANCASH,HUAYLAS,PUEBLO LIBRE,-9.088351098671545,-77.8126206343747,AUTOMÓVIL
13-07-2023,23:15:00,Choque,ICA,PALPA,LLIPATA,-14.6274104,-75.1886216,
13-07-2023,13:30:00,Choque,ICA,PISCO,SAN CLEMENTE,-13.682287,-76.1634073,
